doi,pmid,Field,has_blot,Include_Img,ExclReason_Img
10.1016/j.molcel.2021.06.023,34297910.0,cellbio,True,1.0,99.0
10.1016/j.cell.2021.06.032,34297924.0,cellbio,True,0.0,22.0
10.1016/j.ccell.2021.06.018,34375612.0,cellbio,True,1.0,99.0
10.1016/j.stemcr.2021.06.011,34297942.0,cellbio,False,,
10.1038/s41388-021-01960-w,34294845.0,cellbio,True,1.0,99.0
10.1016/j.stemcr.2021.06.014,34297940.0,cellbio,False,,
10.1038/s41418-021-00837-5,34294890.0,cellbio,True,1.0,99.0
10.1038/s41419-021-04018-7,34294679.0,cellbio,True,1.0,99.0
10.1038/s41594-021-00624-3,34294920.0,cellbio,False,,
10.1038/s41419-021-04015-w,34294687.0,cellbio,True,1.0,99.0
10.1038/s41418-021-00838-4,34294888.0,cellbio,True,1.0,99.0
10.1016/j.stemcr.2021.06.015,34297941.0,cellbio,False,,
10.1016/j.cub.2021.06.063,34297912.0,cellbio,False,,
10.1038/s41594-021-00625-2,34294921.0,cellbio,False,,
10.1111/cpr.13091,34291856.0,cellbio,False,,
10.1016/j.cell.2021.06.031,34297923.0,cellbio,True,0.0,21.0
10.1083/jcb.202104093,34292303.0,cellbio,False,,
10.1038/s41392-021-00707-z,34294683.0,cellbio,False,,
10.1038/s41419-021-04011-0,34294686.0,cellbio,True,1.0,99.0
10.1016/j.molcel.2021.06.009,34297911.0,cellbio,False,,
10.1111/cpr.13099,34291515.0,cellbio,False,,
10.1038/s41419-021-03981-5,34294689.0,cellbio,True,1.0,99.0
10.1016/j.stemcr.2021.06.013,34297939.0,cellbio,False,,
10.1038/s41418-021-00836-6,34294889.0,cellbio,True,1.0,99.0
10.1038/s41388-021-01964-6,34294846.0,cellbio,True,1.0,99.0
10.1083/jcb.201911104,34292306.0,cellbio,True,1.0,99.0
10.1038/s41556-021-00735-5,34294885.0,cellbio,False,,
10.1016/j.ccell.2021.06.017,34297917.0,cellbio,False,,
10.15252/embj.2020107516,34291488.0,cellbio,True,1.0,99.0
10.1016/j.cub.2021.06.047,34297913.0,cellbio,False,,
10.1186/s13287-021-02504-5,34294160.0,cellbio,True,1.0,99.0
10.1186/s13287-021-02481-9,34294118.0,cellbio,True,1.0,99.0
10.1186/s13287-021-02480-w,34294127.0,cellbio,True,1.0,99.0
10.1186/s13287-021-02501-8,34294156.0,cellbio,True,1.0,99.0
10.1186/s13287-021-02497-1,34294122.0,cellbio,True,1.0,99.0
10.1186/s13287-021-02499-z,34294152.0,cellbio,False,,
10.1186/s13287-021-02487-3,34294121.0,cellbio,True,1.0,99.0
10.1186/s13287-021-02492-6,34294138.0,cellbio,True,1.0,99.0
10.1186/s13287-021-02498-0,34294125.0,cellbio,False,,
10.1186/s13287-021-02495-3,34294143.0,cellbio,True,1.0,99.0
10.1016/j.ccell.2021.07.012,34331856.0,cellbio,False,,
10.1093/plcell/koab191,,cellbio,False,,
10.1038/s41418-021-00834-8,34290396.0,cellbio,False,,
10.1016/j.stem.2021.07.001,34320411.0,cellbio,False,,
10.1016/j.cub.2021.07.020,34320365.0,cellbio,False,,
10.1126/scitranslmed.abg6013,34290058.0,cellbio,True,1.0,99.0
10.1126/scitranslmed.abf3637,34290055.0,cellbio,False,,
10.1126/scitranslmed.abf1383,34290053.0,cellbio,True,1.0,99.0
10.1126/scitranslmed.abd1817,34290054.0,cellbio,True,1.0,99.0
10.1126/scitranslmed.abb5071,34290057.0,cellbio,True,1.0,99.0
10.1126/scitranslmed.aaz4959,34290056.0,cellbio,True,1.0,99.0
10.1016/j.molcel.2021.06.028,34293321.0,cellbio,True,1.0,99.0
10.1016/j.cub.2021.06.077,34293332.0,cellbio,False,,
10.1016/j.cub.2021.06.061,34293333.0,cellbio,False,,
